id,observed_on,place_guess,latitude,longitude,species_guess,scientific_name
120309,2012-05-28,"Idaho County, ID, US",46.4723499,-114.9330127,Pale Swallowtail,Papilio eurymedon
201679,2008-08-17,"White Sand Campground Clearwater National Forest, Idaho Co., Idaho",46.5071402983,-114.6860265815,Boreal Bluet,Enallagma boreale
202954,2010-07-09,"Glacier National Park, Montana, USA",48.577023,-113.792593,Western Tent Caterpillar,Malacosoma californica
207783,2008-08-17,"White Sand Campground Clearwater National Forest, Idaho Co., Idaho",46.5076719634,-114.6848034942,Variable Darner,Aeshna interrupta
232218,1983-06-26,"Missoula County, Montana, USA",46.9989876382,-113.8732910156,Kasloensis Silk Moth,Hyalophora euryalus kasloensis
232219,1991-06-07,"Ravalli County, Montana, USA",46.4719163209,-114.1644287109,Kasloensis Silk Moth,Hyalophora euryalus kasloensis
303000,2012-07-24,"Coughlin, Montana, United States",46.962166,-112.977,European Skipper (Thymelicus lineola),Thymelicus lineola
303002,2012-07-24,"Coughlin, Montana, United States",46.962166,-112.977,Orange Sulphur (Colias eurytheme),Colias eurytheme
807229,2014-07-19,"59762, Wise River, MT, US",45.987536,-113.183744,Two-tailed Swallowtail,Papilio multicaudata
807231,2014-07-19,"59762, Wise River, MT, US",45.987547,-113.184065,Great Spangled Fritillary,Argynnis cybele
850887,2014-08-26,"National Bison Range, MT",47.322222,-114.211667,Fall Webworm Moth,Hyphantria cunea
850898,2014-08-26,"National Bison Range, MT",47.322222,-114.211667,woodland skipper,Ochlodes sylvanoides
850900,2014-08-26,Montana,47.328362,-113.7903,Tharsalea helloides,Tharsalea helloides
851204,2014-08-26,"National Bison Range, MT",47.322222,-114.211667,Migratory Grasshopper,Melanoplus sanguinipes
851207,2014-08-26,"National Bison Range, MT",47.322222,-114.211667,Melanoplus bivittatus,Melanoplus bivittatus
851210,2014-08-26,"National Bison Range, MT",47.322222,-114.211667,White-whiskered grasshopper,Ageneotettix deorum
887586,2014-09-12,"Flathead County, US-MT, US",48.063787,-114.061561,Radcliffe's Dagger,Acronicta radcliffei
1109022,2009-06-16,Selway River ID,46.073231,-115.380692,Pale Swallowtail,Papilio eurymedon
1714059,2014-07-09,"missoula, mt",46.966883,-114.007572,Northern Checkerspot,Chlosyne palla
1752734,2015-07-09,"Mission Mountains Wilderness, Montana",47.454657,-113.862876,White-spotted Sawyer,Monochamus scutellatus
1803771,2015-07-26,"98 Tronstad Rd, Kalispell, MT, US",48.2705443746,-114.3145918475,Variable Darner,Aeshna interrupta
