"Name","Median relative abundance","Relative abundance lower confidence","Relative abundance upper confidence","Median actual abundance","Actual abundance lower confidence","Actual abundance upper confidence","Percent abundance change","Percent abundance lower confidence","Percent abundance upper confidence"
"Mantids",0.457,0.457,0.457,27.42,27.42,27.42,1,0,0
"Inv. Predators",0.4713847090439925,0.4627552859364111,0.47974155161980825,4.71,4.63,4.8,-0.059180326619918844,-0.07640347975528197,-0.04250120709859812
"Songbirds",0.5404127180930813,0.5355432055019527,0.545318665184558,6.97,6.85,7.09,-0.009825155674548473,-0.01874735293310959,-0.0008362010572089806
"Sm. Mammals",0.5150835069506225,0.510700840629256,0.5193956241517695,21.21,20.86,21.55,-0.0021541672803709827,-0.010644490239586808,0.0061994843533933735
"Inv. Herbivores",0.4687771308217755,0.4596604647853154,0.4778168028294251,13.38,13.19,13.56,-0.03668716430252587,-0.05542144299119371,-0.018111104373581245
"Pollinators",0.5066412685070948,0.4958795726023909,0.517409690133877,9.09,8.95,9.24,-0.03339746584850608,-0.053929315857303504,-0.012852784078047876
"Shrub",0.4816426244687982,0.4770438954400676,0.48605180219198424,3.9,3.8,3.9,-0.009359148995808886,-0.018817798640000567,-0.00029036780821546177
"Exotic Forb",0.4971629663319569,0.4947009459616304,0.49953604133795565,11.9,11.9,12,-0.008791658749415062,-0.013700260742442516,-0.0040603897296934855
"Native Forb",0.49113276203642464,0.4862901611665999,0.4957848713275738,15.7,15.6,15.9,-0.00904867348362796,-0.01881951779840062,0.00033781878385702165
"Native Grass",0.5085844113043395,0.5076037707365695,0.5095107285099404,25.7,25.6,25.7,0.004490698596063095,0.0025538631227446694,0.006320241531893924
"Exotic Grass",0.4857793323387746,0.48543280165834424,0.4860749615443447,16,16,16,0.0005053994645575447,-0.00020831104918858255,0.001114273899351395
