"Name","Median relative abundance","Relative abundance lower confidence","Relative abundance upper confidence","Median actual abundance","Actual abundance lower confidence","Actual abundance upper confidence","Percent abundance change","Percent abundance lower confidence","Percent abundance upper confidence"
"Mantids",0.4317139682700455,0.30176946051475045,0.5377591668410318,25.9,18.11,39.67,-0.05679198956577489,-0.3406945492116096,0.17489539632319911
"Inv. Predators",0.47416761091514387,0.46176492363426097,0.4841984092800843,4.74,4.62,4.84,0.0048185790944063715,-0.021464216954181808,0.026075055345049513
"Songbirds",0.5415611152704656,0.5362278972175429,0.5460733018277595,7,6.87,7.11,0.0004805845841355195,-0.009372008160891857,0.008816402864477692
"Sm. Mammals",0.5157189382200912,0.5115223140941857,0.519766739576665,21.26,20.92,21.58,-0.0001390808770696774,-0.008275374010347237,0.007708678987594595
"Inv. Herbivores",0.4706406703486445,0.45978213266652335,0.47915263759360366,13.41,13.2,13.58,0.003923048175557288,-0.019239285501404378,0.02207991527376111
"Pollinators",0.5091622264350795,0.4963485547060695,0.5186036545726479,9.13,8.96,9.26,0.0031245778168838825,-0.02212024274540144,0.021725581824580762
"Shrub",0.48239589506354563,0.47763586357614685,0.4861460833778704,3.9,3.8,3.9,0.000840702406237687,-0.009035072462651806,0.008621326464346732
"Exotic Forb",0.4979551620213688,0.4948745232555221,0.49999225466843555,12,11.9,12,0.0007441446628501381,-0.005447037680210211,0.004838104710201366
"Native Forb",0.49224814863309596,0.4871443964564105,0.49612169218440966,15.8,15.6,15.9,0.0008243843340491171,-0.009552413718333364,0.008699958575820886
"Native Grass",0.5083368274457751,0.5074065369814723,0.509524739406558,25.6,25.6,25.7,-0.00020280810866290402,-0.002032503978872931,0.002133577882831012
"Exotic Grass",0.4854380912546158,0.48517760960956763,0.4857647795444721,16,16,16,-0.00015114157186116788,-0.0006876513351757879,0.0005217329296647968
