"Name","Median relative abundance","Relative abundance lower confidence","Relative abundance upper confidence","Median actual abundance","Actual abundance lower confidence","Actual abundance upper confidence","Percent abundance change","Percent abundance lower confidence","Percent abundance upper confidence"
"Mantids",0.3734463250975244,0.22395360735339567,0.49226124580990965,22.41,13.44,29.54,-0.18409504628565235,-0.5107065048929978,0.0754916087954936
"Inv. Predators",0.4779885329342245,0.4658037504295601,0.4881156972510787,4.78,4.66,4.88,0.012915575484845636,-0.012905453959323457,0.03437626285545149
"Songbirds",0.5423178917781983,0.5373898036894947,0.5460332633711372,7.02,6.9,7.1,0.0018786543153382145,-0.007225500899730974,0.008742435776816245
"Sm. Mammals",0.5159147544368097,0.5121697675828197,0.5193835971198002,21.27,20.97,21.55,0.00024056192430398497,-0.00702010996580935,0.006965853505175777
"Inv. Herbivores",0.472838601483954,0.4624346224448703,0.48070437410026357,13.46,13.25,13.61,0.008611452438209127,-0.013581262743702614,0.025389922550814528
"Pollinators",0.5116738839123542,0.4996719437559962,0.5197601338302541,9.16,9,9.28,0.008072912975507688,-0.015572676833117341,0.024004016293615562
"Shrub",0.48308176784618695,0.47869390953738633,0.4861583115011877,3.9,3.8,3.9,0.002263702486803528,-0.006839913934436071,0.008646696505127055
"Exotic Forb",0.49855259824989007,0.49563175268280557,0.5003442656549381,12,11.9,12,0.0019448166371602562,-0.003925228141286675,0.005545543773930311
"Native Forb",0.49293590047841235,0.48829985403103005,0.4961214362807707,15.8,15.6,15.9,0.0022227010551474973,-0.007203171534378178,0.008699438280107075
"Native Grass",0.5080631894137622,0.5071954227368398,0.5091799629226875,25.6,25.5,25.7,-0.000740999562105102,-0.002447723607976712,0.0014554712775397733
"Exotic Grass",0.48538182285770526,0.4851565245930539,0.4856610562852676,16,16,16,-0.00026703666421202036,-0.0007310797971587918,0.00030809583736325153
