"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-01","0.00","10","17","9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-02","0.00","19","27","16"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-03","0.00","26","43","21"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-04","0.00","30","45","16"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-05","0.00","31","36","19"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-06","0.08","31","37","28"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-07","0.08","31","36","23"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-08","0.00","23","27","12"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-09","0.00","26","32","23"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-10","0.00","28","37","22"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-11","0.00","27","35","14"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-12","0.01","21","25","13"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-13","0.01","19","20","17"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-14","0.01","16","18","11"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-15","0.00","13","17","11"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-16","0.00","17","22","14"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-17","0.21","20","30","14"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-18","0.00","29","38","23"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-19","0.00","30","37","24"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-20","0.29","30","33","26"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-21","0.08","31","33","26"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-22","0.00","26","32","20"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-23","0.21","28","36","25"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-24","0.00","33","37","26"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-25","0.05","30","33","22"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-26","0.00","33","42","24"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-27","0.00","29","48","21"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-28","0.00","32","33","15"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-01-29","0.00","15","25","3"
